Date,Source,Production,Start_Hour,End_Hour,Day_of_Year
3/29/2022,Solar,4278,14,15,88
12/7/2022,Solar,3789,14,15,341
6/6/2024,Wind,1268,1,2,158
1/30/2020,Wind,6684,6,7,30
8/18/2020,Solar,1797,9,10,231
12/12/2024,Wind,3380,7,8,347
4/4/2022,Wind,8520,23,0,94
10/13/2025,Wind,6073,4,5,286
6/18/2024,Wind,2793,4,5,170
5/10/2022,Wind,2478,6,7,130
4/26/2023,Solar,4624,15,16,116
6/16/2021,Wind,1499,2,3,167
9/3/2021,Wind,2094,6,7,246
4/7/2025,Wind,6184,3,4,97
7/21/2020,Wind,3014,8,9,203
5/12/2022,Solar,4025,10,11,132
12/22/2022,Wind,13135,11,12,356
10/8/2024,Wind,13096,22,23,282
6/13/2021,Wind,2592,5,6,164
3/9/2021,Wind,2083,22,23,68
1/3/2022,Wind,8634,17,18,3
2/15/2025,Wind,5507,21,22,46
12/3/2021,Wind,13277,13,14,337
5/7/2021,Wind,3061,8,9,127
6/27/2025,Wind,3511,2,3,178
2/1/2020,Wind,11252,11,12,32
7/1/2020,Wind,4054,20,21,183
5/1/2023,Wind,3856,20,21,121
7/8/2025,Solar,8997,18,19,189
2/18/2021,Wind,6214,20,21,49
11/28/2022,Wind,5047,13,14,332
7/1/2021,Solar,3901,17,18,182
11/15/2023,Wind,4554,20,21,319
1/14/2021,Wind,8411,10,11,14
5/27/2020,Solar,5832,11,12,148
4/16/2020,Wind,1491,21,22,107
6/29/2020,Wind,10010,16,17,181
4/2/2024,Wind,13175,6,7,93
5/8/2022,Wind,4285,1,2,128
12/29/2023,Wind,13922,15,16,363
3/15/2024,Wind,10445,3,4,75
6/7/2021,Wind,1268,6,7,158
3/31/2020,Wind,10262,17,18,91
9/13/2021,Wind,2586,1,2,256
1/16/2023,Wind,16385,14,15,16
2/1/2021,Wind,3405,20,21,32
9/13/2022,Wind,1654,5,6,256
7/29/2023,Wind,11966,15,16,210
8/9/2020,Solar,3364,16,17,222
9/23/2021,Wind,1404,1,2,266
3/18/2021,Wind,4597,9,10,77
1/13/2024,Wind,2503,0,1,13
6/27/2023,Wind,2239,6,7,178
12/15/2023,Wind,2968,0,1,349
6/12/2023,Wind,3168,19,20,163
12/14/2020,Wind,8437,6,7,349
5/4/2023,Solar,11275,13,14,124
1/6/2022,Solar,5010,11,12,6
5/5/2023,Wind,2188,6,7,125
3/24/2021,Wind,2191,19,20,83
11/6/2020,Wind,6584,5,6,311
10/13/2025,Wind,7395,0,1,286
4/9/2025,Wind,11401,22,23,99
6/13/2022,Wind,3888,3,4,164
12/6/2020,Wind,3896,0,1,341
12/26/2022,Wind,5200,23,0,360
7/7/2022,Wind,8067,18,19,188
9/27/2021,Wind,10010,16,17,270
1/29/2024,Wind,7099,18,19,29
3/25/2024,Wind,8820,21,22,85
